Clients,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,note/school schedule,Location,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17
MaSe,3-5:30pm,3-5:30pm,3-5:30pm,3-5:30pm,3-5:30pm,8-12pm,,,,,,,,,,,,,,,,,,,
MatCa,,,,,,,,,,,,,,,,,,,,,,,,,
MatFi,8-3:20,8-3:20,8-3:20,8-3:20,8-3:20,,,Hesperia,,,,,,,,,,,,,,,,,
MaxFi,8-3:20,8-3:20,8-3:20,8-3:20,8-3:20,,,Hesperia,,,,,,,,,,,,,,,,,
MaYo,open,open,open,open,open,,,,,,,,,,,,,,,,,,,,
MaZa,8:30-11 or 12-3pm,8:30-11 or 12-3pm,8:30-11 or 12-3pm,8:30-11 or 12-3pm,8:30-11 or 12-3pm,,,victorville,,,,,,,,,,,,,,,,,
MeBa,"9-11, 3:30-7pm","9-11, 3:30-7pm","9-11, 3:30-7pm","9-11, 3:30-7pm",9-11am,,,Colton,,,,,,,,,,,,,,,,,
MeNe,4pm-6:30pm,4:pm-6:30pm,4pm-6:30,4pm-6:30,4pm-6:30,,,,,,,,,,,,,,,,,,,,
MiZaPa,3-8pm,3-8pm,3-8pm,3-8pm,3-8pm,,(9am-2:30pm) mon-fri,,,,,,,,,,,,,,,,,,
MoLa,open,open,open,open,open,11:00 am-1pm,,,,,,,,,,,,,,,,,,,
MoVa,after 3:30,,after 3:30,,after 3:30,,,riverside,,,,,,,,,,,,,,,,,
NaCa,5:30pm ,5:30 PM,5:30pm,5:30pm,5:30 PM,,school (9:am-3:15Pm mon-thurs) (9am-1:15 fri),,,,,,,,,,,,,,,,,,
NaGu,5-8pm,5-8pm,5-8pm,5-8pm,5-8pm,11am,,santa ana,,,,,,,,,,,,,,,,,
NaRe,after 4pm,after 4pm,after 4pm,after 4pm,after 4pm,,school (9-2pm mon-fri),adenlanto,,,,,,,,,,,,,,,,,
NeHu,,,,,,,7:30-3pm,,,,,,,,,,,,,,,,,,
NiFl,4pm-6:30pm,4:30-6:30,n/a,6pm-7:30pm,4-6:30pm,n/a,,,,,,,,,,,,,,,,,,,
NiThMa,10am,10am,10am,10am,10am,,,Apple Valley,,,,,,,,,,,,,,,,,
NoJi,after 3pm,after 3pm,after 3pm,after 3pm,after 3pm,,,,,,,,,,,,,,,,,,,,
NoPaPi,,,,,,,,,,,,,,,,,,,,,,,,,
NoSa,,,,,,,,,,,,,,,,,,,,,,,,,
NOWr,8:40-2:55,8:40-2:55,8:40-2:55,8:40-2:55,8:40-2:55,,,victorville,,,,,,,,,,,,,,,,,
OsMa,3:30-5:00,3:30-5:00,3:30-5:00,3:30-5:00,3:30-5:00,,school (8:00-3:00) wed(8:00-1:30,,,,,,,,,,,,,,,,,,
PaNg,3:30,3:30,3:30,3:30,3:30,8-12pm,,,,,,,,,,,,,,,,,,,
RhKaSi,6:50-2:30pm,6:50-2:30pm,6:50-2:30pm,6:50-2:30pm,6:50-2:30,,,,,,,,,,,,,,,,,,,,
RiCa,3pm-5:30pm,3pm-5:30pm,1:30pm-4:30pm,3pm-5:30pm,3pm-5:30pm,10am,school (Monday 8:05-2:45 and wed 12:55pm onlY),,,,,,,,,,,,,,,,,,
RiHeGo,4pm -after,,,4pm-after,,10 and after,,,,,,,,,,,,,,,,,,,
RiSe,8-4pm,8-4pm,8-4pm,8-4pm,8-4pm,,school sched,Hesperia,,,,,,,,,,,,,,,,,
RiVa,open,open,open,open,open,,no room for session at home ,Hesperia,,,,,,,,,,,,,,,,,
RiVo,after 3pm,after 3pm,after 3pm,after 3pm,after 3pm,,,Hesperia,,,,,,,,,,,,,,,,,
RoVa,8:00-5pm,8-5pm,8-5pm,8-5pm,8-5pm,,,,,,,,,,,,,,,,,,,,
RuAr,,,,,,,,,,,,,,,,,,,,,,,,,
RyPi,8am-10:30am,8am-10:30am,8am-10:30am,8am-10:30am,8am-10:30am,,,victorville,,,,,,,,,,,,,,,,,
RyGi,11-7pm,11-7pm,11-7pm,11-7pm,11-7pm,,,adenlanto,,,,,,,,,,,,,,,,,
SaLo,,4-7pm,3-6pm,4-7pm,,,,,,,,,,,,,,,,,,,,,
SaRaTr,4pm-6pm,4pm-6:pm,4pm-6Pm,4pm-6pm,4pm-6pm,,,,,,,,,,,,,,,,,,,,
SaOc,4:30-6:30pm,4:30-6:30pm,,4:30-6:30pm,4:30-6:30pm,,school(8-3pm) weds(8am-2pm),,,,,,,,,,,,,,,,,,
SaVa,4-8pm,4-8pm,4-8pm,,4-8pm,open,,av,,,,,,,,,,,,,,,,,
SeAp,4pm,3pm,4pm,4pm,2:30,,,,,,,,,,,,,,,,,,,,
SeCa,,,,,,,,,,,,,,,,,,,,,,,,,
SeLe,5:30pm-7:30pm,,5:30-7:30,5:30-7:30,5:30-7:30,,,,,,,,,,,,,,,,,,,,
SeLo,5pm,3:30pm,,3:30pm,,,,,,,,,,,,,,,,,,,,,
SeMe,2:30-7pm,2:30-7pm,2:30-7pm,2:30-7pm,2:30-7:pm,,school sched(8-12:15pm) weds(8:00-12:15),,,,,,,,,,,,,,,,,,
SeRi,8:30-11:20,8:30-11:20,11:40-6pm,8:30-11:20,8:30-11:20,,,,,,,,,,,,,,,,,,,,
SeZuCa,5:30/6,,,,,,school sched (8-1:40)/double check wit Carla,,,,,,,,,,,,,,,,,,
SkSh,2:30,2:30,2:30,2:30,2:30,,(10:20-2pm) school sched mon-fri,,,,,,,,,,,,,,,,,,
SoAv,3pm,3pm,3pm,3pm,3pm,,,victorville ,,,,,,,,,,,,,,,,,
SoMc,3pm,3pm,2pm,3pm,3pm,,,,,,,,,,,,,,,,,,,,
TaRo,6-8pm,6-8pm,6-8pm,6-8pm,6-8pm,,school(8am-6pm mon-fri),,,,,,,,,,,,,,,,,,
TiAl,,,,,,,no intake,,,,,,,,,,,,,,,,,,
